                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.8582,                 1.3305,                 1.4432,                0.85467,                0.77061,                0.85596,                0.40001,                 1.6987,                 1.3411,                 1.4467,                0.00505,                0.00505,                0.00505
                     52,                 1.7942,                 1.2858,                 1.4054,                0.81884,                0.76145,                0.85703,                0.40895,                 1.6881,                 1.1589,                 1.4188,               0.004951,               0.004951,               0.004951
                     53,                 1.8391,                 1.2514,                 1.4104,                0.82315,                0.78495,                0.85575,                0.41047,                 1.6914,                 1.1856,                 1.4313,               0.004852,               0.004852,               0.004852
                     54,                 1.8683,                 1.2665,                 1.4273,                0.80511,                0.74194,                0.83142,                0.38941,                 1.7025,                 1.1882,                 1.4335,               0.004753,               0.004753,               0.004753
                     55,                 1.8155,                 1.2478,                 1.4007,                0.81528,                0.79095,                0.85377,                0.40618,                 1.7408,                 1.1531,                 1.4444,               0.004654,               0.004654,               0.004654
                     56,                  1.787,                 1.2974,                 1.4084,                0.82039,                0.80219,                 0.8604,                0.42897,                 1.6125,                  1.148,                 1.3836,               0.004555,               0.004555,               0.004555
                     57,                 1.8114,                 1.2599,                 1.3683,                0.83454,                0.80645,                0.85863,                0.40855,                 1.7545,                 1.1111,                 1.4574,               0.004456,               0.004456,               0.004456
                     58,                 1.7493,                 1.2205,                 1.3792,                0.78391,                0.75986,                0.83776,                0.41546,                 1.6699,                 1.1718,                 1.4322,               0.004357,               0.004357,               0.004357
                     59,                 1.7521,                 1.1972,                 1.3522,                 0.7721,                 0.7491,                0.83742,                0.40779,                 1.6637,                 1.1655,                 1.4056,               0.004258,               0.004258,               0.004258
                     60,                 1.7925,                 1.2271,                  1.414,                0.82226,                0.76703,                0.85205,                0.40208,                 1.6963,                 1.1317,                 1.4269,               0.004159,               0.004159,               0.004159
                     61,                 1.8004,                 1.2486,                  1.395,                0.83261,                0.83792,                0.89184,                0.43515,                 1.6144,                 1.1727,                 1.3785,                0.00406,                0.00406,                0.00406
                     62,                 1.7202,                  1.147,                 1.3302,                0.84486,                0.84588,                0.88482,                0.45464,                 1.5956,                 1.0735,                 1.3681,               0.003961,               0.003961,               0.003961
                     63,                 1.7302,                 1.1764,                 1.3566,                0.76906,                0.81004,                0.83922,                0.39139,                 1.7459,                 1.1715,                  1.448,               0.003862,               0.003862,               0.003862
                     64,                 1.7125,                 1.1847,                 1.3466,                0.77373,                0.83871,                0.85703,                 0.4049,                 1.6659,                 1.0835,                 1.4043,               0.003763,               0.003763,               0.003763
                     65,                 1.7348,                 1.1729,                 1.3724,                 0.8725,                  0.883,                0.91587,                0.47449,                 1.6003,                 1.0418,                 1.3779,               0.003664,               0.003664,               0.003664
                     66,                 1.7525,                 1.1431,                 1.3658,                0.87122,                 0.8853,                0.92618,                0.47792,                 1.5434,                 1.0563,                 1.3356,               0.003565,               0.003565,               0.003565
                     67,                 1.7104,                 1.1536,                 1.3419,                0.89037,                0.82796,                 0.9185,                0.46661,                 1.6089,                 1.0589,                  1.358,               0.003466,               0.003466,               0.003466
                     68,                 1.6749,                 1.1018,                 1.3275,                0.92047,                0.82968,                0.93223,                 0.4851,                 1.5464,                 1.0262,                 1.3352,               0.003367,               0.003367,               0.003367
                     69,                 1.6937,                 1.1332,                 1.2968,                0.91869,                0.85043,                0.92767,                0.49639,                 1.5302,                0.99521,                 1.3244,               0.003268,               0.003268,               0.003268
                     70,                 1.6886,                 1.1316,                 1.3534,                0.88597,                0.86022,                0.92764,                0.49462,                 1.5353,                 1.0048,                 1.3275,               0.003169,               0.003169,               0.003169
                     71,                  1.719,                 1.1445,                 1.3289,                0.90314,                0.88172,                0.93267,                0.50662,                 1.4899,                0.99924,                 1.3015,                0.00307,                0.00307,                0.00307
                     72,                 1.6469,                 1.1046,                  1.319,                0.89291,                0.86664,                0.92204,                0.47503,                  1.575,                 1.0208,                 1.3476,               0.002971,               0.002971,               0.002971
                     73,                 1.7231,                 1.1452,                 1.3424,                0.89074,                0.89606,                0.93591,                0.53285,                 1.4431,                0.97646,                 1.2809,               0.002872,               0.002872,               0.002872
                     74,                 1.6469,                 1.0915,                  1.328,                0.91347,                0.89964,                  0.957,                0.54262,                 1.4748,                0.94562,                 1.2865,               0.002773,               0.002773,               0.002773
                     75,                 1.6487,                 1.0962,                 1.3053,                0.90247,                0.89543,                0.94459,                 0.5028,                 1.5017,                0.98816,                 1.3171,               0.002674,               0.002674,               0.002674
                     76,                 1.6277,                 1.0867,                 1.2781,                0.89921,                0.89532,                0.94597,                0.51987,                 1.4911,                0.96855,                 1.2989,               0.002575,               0.002575,               0.002575
                     77,                 1.6419,                 1.1155,                 1.2913,                0.88766,                0.87791,                0.94636,                0.52867,                 1.4932,                 0.9763,                 1.2956,               0.002476,               0.002476,               0.002476
                     78,                   1.64,                 1.0686,                 1.2823,                 0.9108,                0.87834,                 0.9571,                0.53878,                 1.4548,                0.97138,                 1.2888,               0.002377,               0.002377,               0.002377
                     79,                  1.654,                 1.0864,                 1.2999,                0.91621,                0.87097,                0.94361,                0.54058,                  1.449,                0.95997,                 1.2821,               0.002278,               0.002278,               0.002278
                     80,                 1.6318,                 1.0817,                  1.314,                0.88462,                0.84229,                0.92695,                0.51327,                 1.4635,                0.99102,                 1.2918,               0.002179,               0.002179,               0.002179
                     81,                 1.5603,                 1.0531,                 1.2615,                  0.918,                0.90323,                0.95369,                0.55215,                 1.3919,                0.95073,                 1.2495,                0.00208,                0.00208,                0.00208
                     82,                 1.6643,                 1.1024,                 1.3162,                0.88748,                 0.8853,                0.94426,                0.53797,                 1.3701,                0.98109,                 1.2422,               0.001981,               0.001981,               0.001981
                     83,                 1.5836,                  1.051,                   1.26,                0.92174,                0.93548,                0.95614,                0.54051,                 1.4058,                 0.9469,                 1.2497,               0.001882,               0.001882,               0.001882
                     84,                 1.6181,                 1.0693,                 1.3019,                0.92707,                0.91119,                0.95443,                0.54547,                 1.3938,                0.92173,                 1.2519,               0.001783,               0.001783,               0.001783
                     85,                 1.5692,                 1.0333,                 1.2622,                 0.9011,                0.91441,                0.95398,                0.55251,                 1.4191,                0.92141,                 1.2737,               0.001684,               0.001684,               0.001684
                     86,                 1.5848,                 1.0438,                 1.2508,                 0.9501,                0.92473,                0.96844,                0.57886,                 1.3641,                0.89209,                  1.231,               0.001585,               0.001585,               0.001585
                     87,                 1.5538,                0.99586,                 1.2213,                0.91902,                0.92115,                0.96184,                0.55972,                 1.3729,                0.89582,                 1.2323,               0.001486,               0.001486,               0.001486
                     88,                 1.5595,                 1.0425,                 1.2823,                0.94527,                0.92854,                0.96676,                0.57457,                  1.384,                 0.8721,                 1.2386,               0.001387,               0.001387,               0.001387
